XDSegID,RTE_NM,BEGIN_MSR,END_MSR
132155935,S-VA127PR ROTHESAY CIR,0.629,0.282
449114595,S-VA127PR GOVERNMENT RD,0.0,0.42
449114595,S-VA127PR BROAD ST E,2.013,2.35
449114595,S-VA127PR BROAD ST E FRK,0.0,0.04
449114595,S-VA127PR 36TH ST N,0.091,0.039
1310233908,R-VA   IS00195SB,0.172,-0.0
1310233908,R-VA   SR00195SB,3.389,3.22
1310472129,R-VA127UR07250EB      RMP002.00A,0.0,0.0
1310472129,R-VA   SR00076NB,10.85,10.904
1310472129,S-VA127NP FOREST HILL AVE,2.867,2.891
1310536486,S-VA127PR NEWTON RD,-0.0,0.28
1310536486,S-VA127PR HATCHER ST,0.0,0.247
1310536486,R-VA043SC07565NB,7.269,7.099
